	(1)	(2)	(3)	(4)	(5)
VARIABLES	foodsecure	foodsecure	foodsecure	foodsecure_high	foodsecure_high
					
treatXpost	-0.0522*				
	(0.0308)				
post	0.0521*				
	(0.0266)				
treat	0.0942***		0.133***		0.0888**
	(0.0255)		(0.0250)		(0.0380)
2.income	0.194***		0.265***		0.159**
	(0.0668)		(0.0617)		(0.0649)
3.income	0.238***		0.305***		0.200***
	(0.0598)		(0.0549)		(0.0664)
4.income	0.200***		0.276***		0.307***
	(0.0591)		(0.0546)		(0.0580)
5.income	0.264***		0.335***		0.431***
	(0.0558)		(0.0506)		(0.0567)
6.income	0.246***		0.317***		0.456***
	(0.0574)		(0.0523)		(0.0557)
3.family_size	0.0144		0.239***		0.0737
	(0.0525)		(0.0572)		(0.0617)
4.family_size	0.0273		0.248***		0.0696
	(0.0527)		(0.0559)		(0.0616)
5.family_size	-0.00424		0.216***		0.00809
	(0.0553)		(0.0584)		(0.0665)
6.family_size	0.0156		0.242***		0.000757
	(0.0668)		(0.0660)		(0.0689)
7.family_size	0.000176		0.229***		0.0222
	(0.0683)		(0.0728)		(0.110)
8.family_size	-0.256*		-0.0141		-0.193**
	(0.154)		(0.145)		(0.0914)
9.family_size	0.0947		0.234***		-0.0873
	(0.0595)		(0.0606)		(0.194)
10.family_size	-0.124		0.0887		-0.144
	(0.116)		(0.101)		(0.143)
black	-0.0255		-0.0225		-0.123***
	(0.0273)		(0.0267)		(0.0399)
asian	-0.109		-0.0981		-0.127**
	(0.0817)		(0.0722)		(0.0576)
other_race	-0.0831*		-0.0702		-0.0392
	(0.0425)		(0.0435)		(0.0524)
hispanic	-0.0186		0.00927		-0.0823*
	(0.0239)		(0.0240)		(0.0427)
2.educ	-0.0980		0.0686		0.162
	(0.123)		(0.105)		(0.111)
3.educ	0.00104		0.145*		0.115
	(0.0973)		(0.0752)		(0.0829)
4.educ	0.0603		0.205***		0.120
	(0.0933)		(0.0719)		(0.0835)
5.educ	0.0604		0.200***		0.130
	(0.0940)		(0.0733)		(0.0840)
6.educ	0.0855		0.232***		0.234***
	(0.0941)		(0.0722)		(0.0817)
7.educ	0.0673		0.216***		0.241***
	(0.0948)		(0.0728)		(0.0828)
snap	9.50e-06		-8.66e-05		-0.00145
	(0.000404)		(0.000329)		(0.000960)
freefood	-0.00142***		-0.00148***		-0.00291***
	(0.000532)		(0.000512)		(0.000733)
in_person_school	0.0664***		0.0870***		0.0495
	(0.0233)		(0.0243)		(0.0355)
parent_age	0.00128*		0.00290***		0.00188*
	(0.000667)		(0.000552)		(0.000965)
employed	-0.0441**				
	(0.0208)				
EDm5		0.835***	0.0394	0.606***	0.0477
		(0.0290)	(0.0295)	(0.0708)	(0.0666)
EDm4		-0.277***	-0.0483	-0.177**	-0.00206
		(0.0481)	(0.0373)	(0.0707)	(0.0547)
EDm3		-0.205***	0.00148	-0.115*	0.0378
		(0.0433)	(0.0350)	(0.0649)	(0.0582)
EDm2		-0.171***	-0.00217	-0.155**	-0.0546
		(0.0418)	(0.0325)	(0.0719)	(0.0610)
EDm1		-0.182***	0.00954	-0.159*	-0.0289
		(0.0700)	(0.0468)	(0.0867)	(0.0733)
ED0		0.0222	-0.0857	0.0875	-0.0586
		(0.0531)	(0.0544)	(0.0740)	(0.0784)
ED1		0.0262	-0.141***	0.302***	0.0587
		(0.0255)	(0.0422)	(0.0914)	(0.0887)
ED2		0.109*	-0.0461	0.181*	0.0381
		(0.0631)	(0.0576)	(0.101)	(0.103)
ED3		0.0655	-0.0790	-0.0261	-0.190
		(0.0955)	(0.0670)	(0.127)	(0.122)
ED4		0.0122	-0.114**	0.145**	0.0738
		(0.0191)	(0.0486)	(0.0741)	(0.101)
